,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
113,Madden NFL 2005    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.5,N/A  ,4.53m,4.18m,0.26m,0.01m,0.08m,09th Aug 04  ,
114,Guitar Hero III: Legends of Rock    ,X360,RedOctane  ,Neversoft  ,N/A  ,8.7,N/A  ,4.53m,3.19m,0.91m,0.01m,0.42m,28th Oct 07  ,
115,Star Wars Battlefront II (2017)    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,4.53m,1.70m,1.99m,0.12m,0.73m,17th Nov 17  ,29th Dec 17
116,Spider-Man: The Movie    ,PS2,Activision  ,Treyarch  ,N/A  ,8.2,N/A  ,4.48m,2.71m,1.51m,0.03m,0.23m,15th Apr 02  ,
117,The Elder Scrolls IV: Oblivion    ,X360,Take-Two Interactive  ,Bethesda Softworks  ,8.8,9.2,N/A  ,4.47m,2.89m,1.03m,0.13m,0.41m,07th Jul 09  ,
118,Tony Hawk's Pro Skater 3    ,PS2,Activision  ,Neversoft Entertainment  ,N/A  ,9.1,N/A  ,4.41m,2.66m,1.29m,0.01m,0.46m,28th Oct 01  ,
119,Winning Eleven: Pro Evolution Soccer 2007    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,8.8,N/A  ,4.39m,0.10m,2.39m,1.05m,0.86m,06th Feb 07  ,
120,Michael Jackson: The Experience    ,Wii,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,5.6,N/A  ,4.37m,2.64m,1.33m,0.01m,0.39m,23rd Nov 10  ,
121,Tom Clancy's The Division    ,PS4,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,4.37m,1.49m,2.04m,0.16m,0.69m,08th Mar 16  ,04th May 18
122,Need for Speed: Most Wanted    ,PS2,Electronic Arts  ,EA Canada  ,N/A  ,8.6,N/A  ,4.37m,2.03m,1.79m,0.08m,0.47m,15th Nov 05  ,
123,Tom Clancy's Rainbow Six: Siege    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,4.36m,1.29m,2.06m,0.36m,0.64m,01st Dec 15  ,
124,Call of Duty: Advanced Warfare    ,X360,Activision  ,High Moon Studios  ,N/A  ,9.1,N/A  ,4.34m,2.81m,1.13m,0.00m,0.41m,04th Nov 14  ,04th Jan 18
125,Watch Dogs    ,PS4,Ubisoft  ,Ubisoft Montreal  ,8.7,N/A  ,N/A  ,4.32m,1.40m,2.13m,0.11m,0.68m,27th May 14  ,15th Mar 18
126,Asteroids    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,4.31m,4.00m,0.26m,,0.05m,01st Jan 81  ,
127,Batman: Arkham Asylum    ,PS3,Eidos Interactive  ,Rocksteady Studios  ,9.1,9,N/A  ,4.28m,2.26m,1.33m,0.07m,0.63m,25th Aug 09  ,
128,Call of Duty: Advanced Warfare    ,PS3,Activision  ,High Moon Studios  ,N/A  ,9.1,N/A  ,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14  ,04th Jan 18
129,Namco Museum    ,GBA,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,4.24m,3.00m,1.11m,0.05m,0.07m,10th Jun 01  ,
130,Assassin's Creed: Revelations    ,PS3,Ubisoft  ,Ubisoft Montreal  ,7.1,8.8,N/A  ,4.23m,1.41m,2.03m,0.10m,0.69m,15th Nov 11  ,
131,Assassin's Creed: Revelations    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.9,N/A  ,4.22m,2.28m,1.47m,0.04m,0.44m,15th Nov 11  ,
132,FIFA Soccer 06    ,PS2,EA Sports  ,EA Canada  ,N/A  ,8.4,N/A  ,4.21m,0.78m,2.55m,0.04m,0.84m,04th Oct 05  ,
133,Street Fighter IV    ,PS3,Capcom  ,Capcom / Dimps Corporation  ,9.1,9.3,9,4.19m,2.04m,1.05m,0.59m,0.52m,17th Feb 09  ,
134,FIFA Soccer 12    ,X360,EA Sports  ,EA Canada  ,N/A  ,9.2,N/A  ,4.18m,0.85m,2.79m,0.02m,0.52m,27th Sep 11  ,
135,Call of Duty: Ghosts    ,PS4,Activision  ,Infinity Ward  ,6.2,7.5,N/A  ,4.17m,1.79m,1.64m,0.05m,0.69m,15th Nov 13  ,21st Mar 18
136,Teenage Mutant Ninja Turtles    ,NES,Ultra Games  ,Konami  ,N/A  ,5.9,N/A  ,4.17m,3.38m,0.44m,0.31m,0.04m,01st Jun 89  ,
137,Frogger    ,PS,Hasbro Interactive  ,Millenium Interactive  ,N/A  ,N/A  ,N/A  ,4.16m,3.79m,0.27m,,0.11m,30th Sep 97  ,
138,Star Wars Battlefront (2015)    ,XOne,Electronic Arts  ,EA DICE  ,N/A  ,6.9,N/A  ,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15  ,24th Mar 18
139,FIFA 14    ,X360,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,4.15m,0.94m,2.92m,0.01m,0.29m,24th Sep 13  ,15th Sep 18
140,Madden NFL 2003    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.4,N/A  ,4.14m,3.36m,0.21m,0.01m,0.56m,12th Aug 02  ,
141,Assassin's Creed: Unity    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,4.14m,1.25m,2.16m,0.09m,0.65m,11th Nov 14  ,04th May 18
142,Destiny 2    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,4.14m,1.92m,1.44m,0.10m,0.69m,06th Sep 17  ,20th Apr 18
143,Batman: Arkham Knight    ,PS4,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,8.1,N/A  ,4.11m,1.65m,1.68m,0.11m,0.66m,23rd Jun 15  ,04th Jan 18
